date,open,high,low,close,tick_volume
2026-03-12 08:37:00,5147.93,5152.53,5147.93,5150.61,
2026-03-12 08:38:00,5150.61,5150.75,5149.33,5150.37,
2026-03-12 08:39:00,5150.37,5151.26,5148.41,5149.44,
2026-03-12 08:40:00,5149.5,5152.47,5148.67,5152.15,
2026-03-12 08:41:00,5152.52,5154.14,5152.19,5154.14,
2026-03-12 08:42:00,5154.2,5154.53,5153.0,5153.61,
2026-03-12 08:43:00,5153.63,5153.83,5152.81,5152.87,
2026-03-12 08:44:00,5152.89,5153.79,5152.18,5153.51,
2026-03-12 08:45:00,5153.51,5156.34,5153.14,5155.26,
2026-03-12 08:46:00,5154.94,5155.21,5153.81,5154.04,
2026-03-12 08:47:00,5154.04,5154.48,5153.7,5154.33,
2026-03-12 08:48:00,5154.33,5156.13,5153.08,5155.99,
2026-03-12 08:49:00,5156.0,5156.85,5155.97,5156.69,
2026-03-12 08:50:00,5156.69,5156.72,5155.4,5155.86,
2026-03-12 08:51:00,5155.88,5155.98,5154.54,5154.71,
2026-03-12 08:52:00,5154.71,5154.72,5151.82,5152.23,
2026-03-12 08:53:00,5152.23,5152.6,5151.67,5152.3,
2026-03-12 08:54:00,5152.3,5154.05,5152.3,5153.22,
2026-03-12 08:55:00,5153.22,5154.27,5152.0,5154.13,
2026-03-12 08:56:00,5154.02,5157.3,5153.39,5156.99,
2026-03-12 08:57:00,5156.99,5157.48,5156.34,5156.41,
2026-03-12 08:58:00,5156.41,5156.41,5155.18,5155.65,
2026-03-12 08:59:00,5155.65,5156.9,5154.32,5154.58,
2026-03-12 09:00:00,5154.58,5156.94,5154.57,5155.96,
2026-03-12 09:01:00,5155.96,5157.58,5155.9,5156.86,
2026-03-12 09:02:00,5156.84,5157.0,5155.63,5156.5,
2026-03-12 09:03:00,5156.52,5156.72,5155.89,5156.17,
2026-03-12 09:04:00,5156.16,5156.31,5154.89,5155.21,
2026-03-12 09:05:00,5155.21,5155.32,5153.98,5154.13,
2026-03-12 09:06:00,5154.15,5155.27,5153.59,5154.16,
2026-03-12 09:07:00,5154.16,5154.41,5153.85,5154.04,
2026-03-12 09:08:00,5154.04,5154.31,5153.02,5153.16,
2026-03-12 09:09:00,5153.21,5154.97,5152.33,5154.61,
2026-03-12 09:10:00,5154.61,5154.87,5153.14,5153.26,
